word,domain,type,note
第一人称,SUBSTANTIVES,noun,entity
自我,SUBSTANTIVES,noun,entity
我的,SUBSTANTIVES,noun,entity
己身,SUBSTANTIVES,noun,entity
交谈者,SUBSTANTIVES,noun,entity
你自己,SUBSTANTIVES,noun,entity
阁下,SUBSTANTIVES,noun,entity
个体,SUBSTANTIVES,noun,entity
主体,SUBSTANTIVES,noun,entity
角色,SUBSTANTIVES,noun,entity
众生,SUBSTANTIVES,noun,entity
人间,SUBSTANTIVES,noun,entity
人类,SUBSTANTIVES,noun,entity
实体,SUBSTANTIVES,noun,entity
存在,SUBSTANTIVES,noun,entity
物件,SUBSTANTIVES,noun,entity
客体,SUBSTANTIVES,noun,entity
对象,SUBSTANTIVES,noun,entity
集体,SUBSTANTIVES,noun,entity
众人,SUBSTANTIVES,noun,entity
族群,SUBSTANTIVES,noun,entity
文化,SUBSTANTIVES,noun,entity
文明,SUBSTANTIVES,noun,entity
身形,SUBSTANTIVES,noun,entity
体魄,SUBSTANTIVES,noun,entity
种,RELATIONAL_SUBSTANTIVES,noun,relation
类,RELATIONAL_SUBSTANTIVES,noun,relation
环节,RELATIONAL_SUBSTANTIVES,noun,relation
细节,RELATIONAL_SUBSTANTIVES,noun,relation
有利,EVALUATORS,adjective,evaluation
适当,EVALUATORS,adjective,evaluation
健康,EVALUATORS,adjective,evaluation
正确,EVALUATORS,adjective,evaluation
美德,EVALUATORS,adjective,evaluation
恶习,EVALUATORS,adjective,evaluation
不当,EVALUATORS,adjective,evaluation
不足,EVALUATORS,adjective,evaluation
糟糕,EVALUATORS,adjective,evaluation
主要,DESCRIPTORS,adjective,property
重要,DESCRIPTORS,adjective,property
规模,DESCRIPTORS,adjective,property
尺寸,DESCRIPTORS,adjective,property
沉思,MENTAL_PREDICATES,verb,cognition
反思,MENTAL_PREDICATES,verb,cognition
推理,MENTAL_PREDICATES,verb,cognition
假设,MENTAL_PREDICATES,verb,cognition
想象,MENTAL_PREDICATES,verb,cognition
意识,MENTAL_PREDICATES,verb,cognition
观念,MENTAL_PREDICATES,verb,cognition
看法,MENTAL_PREDICATES,verb,cognition
判断,MENTAL_PREDICATES,verb,cognition
理解,MENTAL_PREDICATES,verb,cognition
认识,MENTAL_PREDICATES,verb,cognition
深思,MENTAL_PREDICATES,verb,cognition
冥想,MENTAL_PREDICATES,verb,cognition
揣摩,MENTAL_PREDICATES,verb,cognition
领悟,MENTAL_PREDICATES,verb,cognition
掌握,MENTAL_PREDICATES,verb,cognition
智慧,MENTAL_PREDICATES,verb,cognition
认知,MENTAL_PREDICATES,verb,cognition
感知,MENTAL_PREDICATES,verb,cognition
辨认,MENTAL_PREDICATES,verb,cognition
确定,MENTAL_PREDICATES,verb,cognition
觉悟,MENTAL_PREDICATES,verb,cognition
目的,MENTAL_PREDICATES,verb,cognition
追求,MENTAL_PREDICATES,verb,cognition
要求,MENTAL_PREDICATES,verb,cognition
企图,MENTAL_PREDICATES,verb,cognition
意图,MENTAL_PREDICATES,verb,cognition
体验,MENTAL_PREDICATES,verb,cognition
感知,MENTAL_PREDICATES,verb,cognition
眼睛,MENTAL_PREDICATES,verb,cognition
光学,MENTAL_PREDICATES,verb,cognition
瞥见,MENTAL_PREDICATES,verb,cognition
音调,MENTAL_PREDICATES,verb,cognition
嗓音,MENTAL_PREDICATES,verb,cognition
言语,SPEECH,verb,communication
语言,SPEECH,verb,communication
说话,SPEECH,verb,communication
谈论,SPEECH,verb,communication
工作,ACTIONS_EVENTS_MOVEMENT,verb,action
功能,ACTIONS_EVENTS_MOVEMENT,verb,action
作为,ACTIONS_EVENTS_MOVEMENT,verb,action
事态,ACTIONS_EVENTS_MOVEMENT,verb,action
旅行,ACTIONS_EVENTS_MOVEMENT,verb,action
去,ACTIONS_EVENTS_MOVEMENT,verb,action
生机,LIFE_DEATH,verb,life
因果,LOGICAL_CONCEPTS,conjunction,logic
